car_speed,ray_dist_0,ray_type_0,ray_dist_1,ray_type_1,ray_dist_2,ray_type_2,ray_dist_3,ray_type_3,ray_dist_4,ray_type_4,ray_dist_5,ray_type_5,ray_dist_6,ray_type_6,ray_dist_7,ray_type_7,ray_dist_8,ray_type_8,ray_dist_9,ray_type_9,ray_dist_10,ray_type_10,ray_dist_11,ray_type_11,ray_dist_12,ray_type_12,ray_dist_13,ray_type_13,ray_dist_14,ray_type_14,ray_dist_15,ray_type_15,ray_dist_16,ray_type_16,ray_dist_17,ray_type_17,ray_dist_18,ray_type_18,ray_dist_19,ray_type_19,accelerate,brake,steer_left,steer_right
5.09478,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,258.987,0,285.925,0,511.666,0,104.651,0,94.3143,0,93.0129,0,99.3443,0,177.7,0,228.446,0,289.604,0,276.337,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
5.0693,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,253.917,0,278.497,0,511.666,0,102.908,0,91.508,0,89.3479,0,94.1432,0,177.7,0,228.446,0,294.998,0,281.484,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
5.04396,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,248.873,0,271.461,0,511.666,0,101.5,0,88.9107,0,85.9336,0,89.41,0,177.7,0,228.446,0,300.366,0,286.606,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
5.01874,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,243.855,0,264.705,0,511.666,0,100.5,0,86.5317,0,82.7646,0,85.0899,0,177.7,0,228.446,0,305.707,0,291.702,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.99365,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,238.861,0,258.164,0,511.666,0,100.019,0,84.3839,0,79.838,0,81.1436,0,177.7,0,228.446,0,311.021,0,296.773,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.96868,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,233.892,0,251.799,0,511.666,0,100.253,0,82.4837,0,77.1533,0,77.5417,0,177.7,0,228.446,0,316.309,0,301.818,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.94383,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,228.949,0,245.581,0,511.666,0,101.599,0,80.8529,0,74.7125,0,74.2625,0,177.7,0,228.446,0,321.57,0,306.838,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.91911,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,224.029,0,239.492,0,511.666,0,105.202,0,79.5209,0,72.5201,0,71.29,0,177.7,0,228.446,0,326.804,0,311.833,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.89452,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,219.135,0,233.516,0,511.666,0,350,0,78.5272,0,70.5835,0,68.6128,0,177.7,0,228.446,0,332.013,0,316.803,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.87005,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,214.265,0,227.642,0,511.666,0,350,0,77.9282,0,68.9139,0,66.224,0,177.7,0,228.446,0,337.196,0,321.748,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
4.8457,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,209.419,0,221.861,0,511.666,0,350,0,77.8067,0,67.5264,0,64.1197,0,177.7,0,228.446,0,342.352,0,326.669,0,124.458,0,85.1342,0,81.2341,0,0,0,0,1
4.82147,95.2736,0,109.196,0,132.602,0,175.571,0,271.962,0,226.056,0,203.733,0,784.3,0,449.861,0,322.242,0,73.4627,0,64.7269,0,61.9106,0,179.526,0,238.866,0,341.643,0,334.972,0,117.538,0,83.7033,0,82.0691,0,0,0,0,1
4.79736,98.8988,0,115.039,0,142.653,0,195.531,0,326.462,0,206.834,0,200.929,0,642.969,0,401.945,0,99.8701,0,69.4404,0,61.9784,0,59.6833,0,181.594,0,250.54,0,341.804,0,295.227,0,111.982,0,82.7817,0,83.3811,0,0,0,0,1
4.77337,103.34,0,122.149,0,155.091,0,221.58,0,409.647,0,196.205,0,201.395,0,545.396,0,363.66,0,85.6378,0,65.6614,0,59.2691,0,57.4333,0,183.92,0,263.718,0,342.789,0,252.617,0,107.555,0,82.3366,0,85.1885,0,0,0,0,1
4.74951,108.707,0,130.774,0,170.585,0,256.447,0,217.627,0,189.449,0,207.54,0,473.886,0,332.324,0,77.5259,0,62.0712,0,56.5887,0,55.1564,0,186.526,0,278.721,0,344.561,0,222.344,0,104.078,0,82.3429,0,87.5165,0,0,0,0,1
4.72576,115.14,0,141.236,0,190.097,0,304.808,0,194.462,0,185.584,0,697.906,0,419.152,0,306.168,0,71.1302,0,58.6305,0,53.9287,0,52.8491,0,189.435,0,295.968,0,347.098,0,200.02,0,101.412,0,82.7826,0,90.3986,0,0,0,0,1
4.70213,122.818,0,153.972,0,215.057,0,375.391,0,183.064,0,184.612,0,581.742,0,375.851,0,283.974,0,65.6478,0,55.3093,0,51.282,0,50.5082,0,192.678,0,316.02,0,350.386,0,183.122,0,99.4497,0,83.6434,0,93.877,0,0,0,0,1
4.67862,131.969,0,169.575,0,247.678,0,204.787,0,175.885,0,187.658,0,498.507,0,340.69,0,264.882,0,60.749,0,52.085,0,48.6425,0,48.1315,0,196.293,0,339.639,0,354.422,0,170.099,0,98.1056,0,84.9182,0,98.0047,0,0,0,0,1
